product_smiles,reactant_smiles,rxn_smiles,reactant_iupac,product_iupac
CN(C)c1nc(Cl)nc2c1CCC2c1ccc(Cl)cc1,CNC.Clc1ccc(C2CCc3c(Cl)nc(Cl)nc32)cc1,[CH3:19][NH:20][CH3:21].[Cl:1][c:2]1[n:3][c:4]([Cl:18])[c:5]2[c:6]([n:7]1)[CH:8]([c:11]1[cH:12][cH:13][c:14]([Cl:17])[cH:15][cH:16]1)[CH2:9][CH2:10]2>>[Cl:1][c:2]1[n:3][c:4]([N:20]([CH3:19])[CH3:21])[c:5]2[c:6]([n:7]1)[CH:8]([c:11]1[cH:12][cH:13][c:14]([Cl:17])[cH:15][cH:16]1)[CH2:9][CH2:10]2,"N-methylmethanamine|2,4-dichloro-7-(4-chlorophenyl)-6,7-dihydro-5H-cyclopenta[d]pyrimidine","2-chloro-7-(4-chlorophenyl)-N,N-dimethyl-6,7-dihydro-5H-cyclopenta[d]pyrimidin-4-amine"
COC(=O)CCc1cc(Br)c(N)cc1C,O=C1CCC(=O)N1Br.COC(=O)CCc1ccc(N)cc1C,[Br:15][N:16]1[C:17](=[O:18])[CH2:19][CH2:20][C:21]1=[O:22].[NH2:1][c:2]1[cH:3][c:4]([CH3:14])[c:5]([CH2:8][CH2:9][C:10](=[O:11])[O:12][CH3:13])[cH:6][cH:7]1>>[NH2:1][c:2]1[cH:3][c:4]([CH3:14])[c:5]([CH2:8][CH2:9][C:10](=[O:11])[O:12][CH3:13])[cH:6][c:7]1[Br:15],"1-bromopyrrolidine-2,5-dione|methyl 3-(4-amino-2-methylphenyl)propanoate",methyl 3-(4-amino-5-bromo-2-methylphenyl)propanoate
NC(=O)CCC(N)C(=O)O,CNCC(=O)NC(CCC(N)=O)C(=O)O,[NH:1]([CH2:2][C:3](=[O:4])[NH:6][CH:7]([CH2:8][CH2:9][C:10]([NH2:11])=[O:12])[C:13](=[O:14])[OH:15])[CH3:5]>>[NH2:6][CH:7]([CH2:8][CH2:9][C:10]([NH2:11])=[O:12])[C:13](=[O:14])[OH:15],5-amino-2-[[2-(methylamino)acetyl]amino]-5-oxopentanoic acid,"2,5-diamino-5-oxopentanoic acid"
COc1ccc(OC)c(C(=O)C=CC(=O)O)c1,COc1ccc(OC)c(C(=O)CC(O)C(=O)O)c1,[CH3:1][O:2][c:3]1[c:4]([C:11]([CH2:12][CH:13]([C:14](=[O:15])[OH:16])[OH:17])=[O:18])[cH:5][c:6]([O:9][CH3:10])[cH:7][cH:8]1>>[CH3:1][O:2][c:3]1[c:4]([C:11]([CH:12]=[CH:13][C:14](=[O:15])[OH:16])=[O:18])[cH:5][c:6]([O:9][CH3:10])[cH:7][cH:8]1,"4-(2,5-dimethoxyphenyl)-2-hydroxy-4-oxobutanoic acid","4-(2,5-dimethoxyphenyl)-4-oxobut-2-enoic acid"
FCC(c1cccc(Br)n1)N1CCOCC1,FCC(Br)c1cccc(Br)n1.C1COCCN1,[Br:1][c:2]1[n:3][c:4]([CH:8]([CH2:9][F:10])[Br:11])[cH:5][cH:6][cH:7]1.[CH2:12]1[CH2:13][O:14][CH2:15][CH2:16][NH:17]1>>[Br:1][c:2]1[n:3][c:4]([CH:8]([CH2:9][F:10])[N:17]2[CH2:12][CH2:13][O:14][CH2:15][CH2:16]2)[cH:5][cH:6][cH:7]1,2-bromo-6-(1-bromo-2-fluoroethyl)pyridine|morpholine,4-[1-(6-bromopyridin-2-yl)-2-fluoroethyl]morpholine
Cc1cc2c(C(=O)O)ccc(OC3CCCC3)c2o1,Cc1cc2c(C=O)ccc(OC3CCCC3)c2o1.NS(=O)(=O)O,[CH:1]1([O:6][c:7]2[cH:8][cH:9][c:10]([CH:17]=[O:18])[c:11]3[c:12]2[o:13][c:14]([CH3:16])[cH:15]3)[CH2:2][CH2:3][CH2:4][CH2:5]1.[NH2:19][S:20]([OH:21])(=[O:22])=[O:23]>>[CH:1]1([O:6][c:7]2[cH:8][cH:9][c:10]([C:17](=[O:18])[OH:21])[c:11]3[c:12]2[o:13][c:14]([CH3:16])[cH:15]3)[CH2:2][CH2:3][CH2:4][CH2:5]1,7-cyclopentyloxy-2-methyl-1-benzofuran-4-carbaldehyde|sulfamic acid,7-cyclopentyloxy-2-methyl-1-benzofuran-4-carboxylic acid
NC(=O)CN1c2ccccc2C2CCCC21,c1ccc2c(c1)NC1CCCC21.NC(=O)CCl,[CH2:1]1[CH2:2][CH2:3][CH:4]2[NH:5][c:6]3[cH:7][cH:8][cH:9][cH:10][c:11]3[CH:12]12.[Cl:22][CH2:23][C:24](=[O:25])[NH2:26]>>[CH2:1]1[CH2:2][CH2:3][CH:4]2[N:5]([CH2:23][C:24](=[O:25])[NH2:26])[c:6]3[cH:7][cH:8][cH:9][cH:10][c:11]3[CH:12]12,"1,2,3,3a,4,8b-hexahydrocyclopenta[b]indole|2-chloroacetamide","2-(2,3,3a,8b-tetrahydro-1H-cyclopenta[b]indol-4-yl)acetamide"
CC(C)C(CO)c1ccccc1,CC(C)C(C(=O)O)c1ccccc1,[c:7]1([CH:13]([C:14](=[O:15])[OH:16])[CH:17]([CH3:18])[CH3:19])[cH:8][cH:9][cH:10][cH:11][cH:12]1>>[c:7]1([CH:13]([CH2:14][OH:15])[CH:17]([CH3:18])[CH3:19])[cH:8][cH:9][cH:10][cH:11][cH:12]1,3-methyl-2-phenylbutanoic acid,3-methyl-2-phenylbutan-1-ol
CCN1CCN(C(=O)CCCC(=O)O)CC1,O=C1CCCC(=O)O1.CCN1CCNCC1,[C:9]1(=[O:16])[CH2:10][CH2:11][CH2:12][C:13](=[O:14])[O:15]1.[CH2:1]([CH3:2])[N:3]1[CH2:4][CH2:5][NH:6][CH2:7][CH2:8]1>>[CH2:1]([CH3:2])[N:3]1[CH2:4][CH2:5][N:6]([C:9]([CH2:10][CH2:11][CH2:12][C:13](=[O:14])[OH:15])=[O:16])[CH2:7][CH2:8]1,"oxane-2,6-dione|1-ethylpiperazine",5-(4-ethylpiperazin-1-yl)-5-oxopentanoic acid
COC(=O)c1c(OC)cc(C(F)(F)F)cc1OC(F)F,COC(=O)c1c(O)cc(C(F)(F)F)cc1OC.COC(=O)C(F)(F)Cl,[CH3:1][O:2][C:3]([c:4]1[c:5]([OH:16])[cH:6][c:7]([C:12]([F:13])([F:14])[F:15])[cH:8][c:9]1[O:10][CH3:11])=[O:17].[Cl:24][C:25]([C:26]([O:27][CH3:28])=[O:29])([F:30])[F:31]>>[CH3:1][O:2][C:3]([c:4]1[c:5]([O:16][CH:25]([F:30])[F:31])[cH:6][c:7]([C:12]([F:13])([F:14])[F:15])[cH:8][c:9]1[O:10][CH3:11])=[O:17],"methyl 2-hydroxy-6-methoxy-4-(trifluoromethyl)benzoate|methyl 2-chloro-2,2-difluoroacetate",methyl 2-(difluoromethoxy)-6-methoxy-4-(trifluoromethyl)benzoate
COc1nc(C)cc(C(=O)O)n1,COC(=O)c1cc(C)nc(OC)n1,[CH3:1][O:2][c:3]1[n:4][c:5]([CH3:13])[cH:6][c:7]([C:9](=[O:10])[O:11][CH3:12])[n:8]1>>[CH3:1][O:2][c:3]1[n:4][c:5]([CH3:13])[cH:6][c:7]([C:9](=[O:10])[OH:11])[n:8]1,methyl 2-methoxy-6-methylpyrimidine-4-carboxylate,2-methoxy-6-methylpyrimidine-4-carboxylic acid
COC(=O)C(=O)c1c[nH]c2ccncc12,COC(=O)C(=O)Cl.c1cc2[nH]ccc2cn1,[Cl:14][C:15]([C:16](=[O:17])[O:18][CH3:19])=[O:20].[nH:5]1[cH:6][cH:7][c:8]2[cH:9][n:10][cH:11][cH:12][c:13]12>>[nH:5]1[cH:6][c:7]([C:15]([C:16](=[O:17])[O:18][CH3:19])=[O:20])[c:8]2[cH:9][n:10][cH:11][cH:12][c:13]12,"methyl 2-chloro-2-oxoacetate|1H-pyrrolo[3,2-c]pyridine","methyl 2-oxo-2-(1H-pyrrolo[3,2-c]pyridin-3-yl)acetate"
NCC12CNCC1COC2,CCO.NCC12CCCC1CNC2,[CH3:11][CH2:12][OH:13].[NH2:1][CH2:2][C:3]12[CH2:4][CH2:5][CH2:6][CH:7]1[CH2:8][NH:9][CH2:10]2>>[NH2:1][CH2:2][C:3]12[CH2:4][O:13][CH2:6][CH:7]1[CH2:8][NH:9][CH2:10]2,"ethanol|2,3,4,5,6,6a-hexahydro-1H-cyclopenta[c]pyrrol-3a-ylmethanamine","1,3,4,5,6,6a-hexahydrofuro[3,4-c]pyrrol-3a-ylmethanamine"
O=C1NC(=O)C(=Cc2cccc(N3CCCCC3)n2)S1,O=C1NC(=O)C(=Cc2cccc(Br)n2)S1.C1CCNCC1,[Br:1][c:2]1[cH:3][cH:4][cH:5][c:6]([CH:8]=[C:9]2[C:10](=[O:15])[NH:11][C:12](=[O:14])[S:13]2)[n:7]1.[CH2:25]1[CH2:26][CH2:27][NH:28][CH2:29][CH2:30]1>>[c:2]1([N:28]2[CH2:27][CH2:26][CH2:25][CH2:30][CH2:29]2)[cH:3][cH:4][cH:5][c:6]([CH:8]=[C:9]2[C:10](=[O:15])[NH:11][C:12](=[O:14])[S:13]2)[n:7]1,"5-[(6-bromopyridin-2-yl)methylidene]-1,3-thiazolidine-2,4-dione|piperidine","5-[(6-piperidin-1-ylpyridin-2-yl)methylidene]-1,3-thiazolidine-2,4-dione"
CC(O)c1cnc(Br)s1,O=Cc1cnc(Br)s1.C[Al](C)C,[Br:3][c:4]1[s:5][c:6]([CH:9]=[O:10])[cH:7][n:8]1.[CH3:11][Al:12]([CH3:13])[CH3:14]>>[Br:3][c:4]1[s:5][c:6]([CH:9]([OH:10])[CH3:11])[cH:7][n:8]1,"2-bromo-1,3-thiazole-5-carbaldehyde|trimethylalumane","1-(2-bromo-1,3-thiazol-5-yl)ethanol"
ClCCCCCCOc1ccccc1-c1ccccc1,Cc1ccc(S(=O)(=O)OCCCCCCCl)cc1.Oc1ccccc1-c1ccccc1,[Cl:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][O:8][S:9]([c:10]1[cH:11][cH:12][c:13]([CH3:14])[cH:15][cH:16]1)(=[O:17])=[O:18].[OH:19][c:20]1[c:21](-[c:26]2[cH:27][cH:28][cH:29][cH:30][cH:31]2)[cH:22][cH:23][cH:24][cH:25]1>>[Cl:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][O:19][c:20]1[c:21](-[c:26]2[cH:27][cH:28][cH:29][cH:30][cH:31]2)[cH:22][cH:23][cH:24][cH:25]1,6-chlorohexyl 4-methylbenzenesulfonate|2-phenylphenol,1-(6-chlorohexoxy)-2-phenylbenzene
OC1(c2cccc(F)c2F)CCC=CCC1,C=CCCC(O)(CCC=C)c1cccc(F)c1F,[F:1][c:2]1[c:3]([C:9]([CH2:10][CH2:11][CH:12]=[CH2:13])([CH2:14][CH2:15][CH:16]=[CH2:17])[OH:18])[cH:4][cH:5][cH:6][c:7]1[F:8]>>[F:1][c:2]1[c:3]([C:9]2([OH:18])[CH2:10][CH2:11][CH:17]=[CH:16][CH2:15][CH2:14]2)[cH:4][cH:5][cH:6][c:7]1[F:8],"5-(2,3-difluorophenyl)nona-1,8-dien-5-ol","1-(2,3-difluorophenyl)cyclohept-4-en-1-ol"
Cc1ccccc1C(O)c1cncnc1C(C)(C)C,Cc1ccccc1C(=O)c1cncnc1C(C)(C)C,[C:3]([CH3:4])([CH3:5])([CH3:6])[c:7]1[n:8][cH:9][n:10][cH:11][c:12]1[C:13]([c:14]1[c:15]([CH3:20])[cH:16][cH:17][cH:18][cH:19]1)=[O:21]>>[C:3]([CH3:4])([CH3:5])([CH3:6])[c:7]1[n:8][cH:9][n:10][cH:11][c:12]1[CH:13]([c:14]1[c:15]([CH3:20])[cH:16][cH:17][cH:18][cH:19]1)[OH:21],(4-tert-butylpyrimidin-5-yl)-(2-methylphenyl)methanone,(4-tert-butylpyrimidin-5-yl)-(2-methylphenyl)methanol
CN1CCC(O)(Cc2ccccc2F)CC1,CN1CCC(=O)CC1.Fc1ccccc1CCl,[CH3:10][N:11]1[CH2:12][CH2:13][C:14](=[O:17])[CH2:15][CH2:16]1.[F:1][c:2]1[c:3]([CH2:4][Cl:5])[cH:6][cH:7][cH:8][cH:9]1>>[F:1][c:2]1[c:3]([CH2:4][C:14]2([OH:17])[CH2:13][CH2:12][N:11]([CH3:10])[CH2:16][CH2:15]2)[cH:6][cH:7][cH:8][cH:9]1,1-methylpiperidin-4-one|1-(chloromethyl)-2-fluorobenzene,4-[(2-fluorophenyl)methyl]-1-methylpiperidin-4-ol
CC(=O)Nc1ccc(CNC(=O)CCl)c(O)c1,CC(=O)Nc1cccc(O)c1.O=C(CCl)NCO,[C:1]([CH3:2])(=[O:3])[NH:4][c:5]1[cH:6][c:7]([OH:11])[cH:8][cH:9][cH:10]1.[OH:12][CH2:13][NH:14][C:15]([CH2:16][Cl:17])=[O:18]>>[C:1]([CH3:2])(=[O:3])[NH:4][c:5]1[cH:6][c:7]([OH:11])[c:8]([CH2:13][NH:14][C:15]([CH2:16][Cl:17])=[O:18])[cH:9][cH:10]1,N-(3-hydroxyphenyl)acetamide|2-chloro-N-(hydroxymethyl)acetamide,N-[(4-acetamido-2-hydroxyphenyl)methyl]-2-chloroacetamide
N#CC1CCCN(CC2COc3ccccc3O2)C1,NC(=O)C1CCCN(CC2COc3ccccc3O2)C1,[O:1]1[CH:2]([CH2:11][N:12]2[CH2:13][CH:14]([C:18](=[O:19])[NH2:20])[CH2:15][CH2:16][CH2:17]2)[CH2:3][O:4][c:5]2[c:6]1[cH:7][cH:8][cH:9][cH:10]2>>[O:1]1[CH:2]([CH2:11][N:12]2[CH2:13][CH:14]([C:18]#[N:20])[CH2:15][CH2:16][CH2:17]2)[CH2:3][O:4][c:5]2[c:6]1[cH:7][cH:8][cH:9][cH:10]2,"1-(2,3-dihydro-1,4-benzodioxin-3-ylmethyl)piperidine-3-carboxamide","1-(2,3-dihydro-1,4-benzodioxin-3-ylmethyl)piperidine-3-carbonitrile"
N#Cc1cccnc1-c1c(F)cc(F)cc1F,N#Cc1cccnc1Cl.OB(O)c1c(F)cc(F)cc1F,[Cl:1][c:2]1[c:3]([C:4]#[N:5])[cH:6][cH:7][cH:8][n:9]1.[F:10][c:11]1[c:12]([B:19]([OH:20])[OH:21])[c:13]([F:18])[cH:14][c:15]([F:17])[cH:16]1>>[c:2]1(-[c:12]2[c:11]([F:10])[cH:16][c:15]([F:17])[cH:14][c:13]2[F:18])[c:3]([C:4]#[N:5])[cH:6][cH:7][cH:8][n:9]1,"2-chloropyridine-3-carbonitrile|(2,4,6-trifluorophenyl)boronic acid","2-(2,4,6-trifluorophenyl)pyridine-3-carbonitrile"
Cc1ccn(-c2ccc(C(F)(F)F)cc2)n1,Cc1cc[nH]n1.OB(O)c1ccc(C(F)(F)F)cc1,[CH3:14][c:15]1[n:16][nH:17][cH:18][cH:19]1.[F:1][C:2]([c:3]1[cH:4][cH:5][c:6]([B:9]([OH:10])[OH:11])[cH:7][cH:8]1)([F:12])[F:13]>>[F:1][C:2]([c:3]1[cH:4][cH:5][c:6](-[n:17]2[n:16][c:15]([CH3:14])[cH:19][cH:18]2)[cH:7][cH:8]1)([F:12])[F:13],5-methyl-1H-pyrazole|[4-(trifluoromethyl)phenyl]boronic acid,3-methyl-1-[4-(trifluoromethyl)phenyl]pyrazole
O=[N+]([O-])c1ccc(C=Cc2ccncn2)cc1,Cc1ccncn1.O=Cc1ccc([N+](=O)[O-])cc1,[CH3:12][c:13]1[n:14][cH:15][n:16][cH:17][cH:18]1.[N+:1](=[O:2])([O-:3])[c:4]1[cH:5][cH:6][c:7]([CH:8]=[O:9])[cH:10][cH:11]1>>[N+:1](=[O:2])([O-:3])[c:4]1[cH:5][cH:6][c:7]([CH:8]=[CH:12][c:13]2[n:14][cH:15][n:16][cH:17][cH:18]2)[cH:10][cH:11]1,4-methylpyrimidine|4-nitrobenzaldehyde,4-[2-(4-nitrophenyl)ethenyl]pyrimidine
CCOC(=O)C=CCC(C)CC,CCC(C)CC=O.CCOC(=O)CP(=O)(OCC)OCC,[CH3:17][CH:18]([CH2:19][CH:20]=[O:21])[CH2:22][CH3:23].[CH3:3][CH2:4][O:5][C:6](=[O:7])[CH2:8][P:9]([O:10][CH2:11][CH3:12])([O:13][CH2:14][CH3:15])=[O:16]>>[CH3:3][CH2:4][O:5][C:6](=[O:7])[CH:8]=[CH:20][CH2:19][CH:18]([CH3:17])[CH2:22][CH3:23],3-methylpentanal|ethyl 2-diethoxyphosphorylacetate,ethyl 5-methylhept-2-enoate
CC(Oc1ccc(C#N)cc1)C(F)(F)F,N#Cc1ccc(F)cc1.CC(O)C(F)(F)F,[F:10][c:11]1[cH:12][cH:13][c:14]([C:15]#[N:16])[cH:17][cH:18]1.[F:1][C:2]([CH:3]([CH3:4])[OH:5])([F:6])[F:7]>>[F:1][C:2]([CH:3]([CH3:4])[O:5][c:11]1[cH:12][cH:13][c:14]([C:15]#[N:16])[cH:17][cH:18]1)([F:6])[F:7],"4-fluorobenzonitrile|1,1,1-trifluoropropan-2-ol","4-(1,1,1-trifluoropropan-2-yloxy)benzonitrile"
Nc1csc2ccccc12,COC(=O)c1sc2ccccc2c1N,[NH2:1][c:2]1[c:3]([C:11]([O:12][CH3:13])=[O:14])[s:4][c:5]2[c:6]1[cH:7][cH:8][cH:9][cH:10]2>>[NH2:1][c:2]1[cH:3][s:4][c:5]2[c:6]1[cH:7][cH:8][cH:9][cH:10]2,methyl 3-amino-1-benzothiophene-2-carboxylate,1-benzothiophen-3-amine
Clc1ccc(Br)cc1Cc1cc2sccc2s1,O=Cc1cc(Br)ccc1Cl.c1cc2sccc2s1,[Br:1][c:2]1[cH:3][cH:4][c:5]([Cl:10])[c:6]([CH:7]=[O:8])[cH:9]1.[s:11]1[c:12]2[c:13]([cH:14][cH:15]1)[s:16][cH:17][cH:18]2>>[Br:1][c:2]1[cH:3][cH:4][c:5]([Cl:10])[c:6]([CH2:7][c:15]2[s:11][c:12]3[c:13]([cH:14]2)[s:16][cH:17][cH:18]3)[cH:9]1,"5-bromo-2-chlorobenzaldehyde|thieno[3,2-b]thiophene","5-[(5-bromo-2-chlorophenyl)methyl]thieno[3,2-b]thiophene"
CN(C(=O)CCCCCBr)c1ccc(O)cc1,O=C(Cl)CCCCCBr.CNc1ccc(O)cc1,[Br:19][CH2:20][CH2:21][CH2:22][CH2:23][CH2:24][C:25](=[O:26])[Cl:27].[CH3:1][NH:2][c:3]1[cH:4][cH:5][c:6]([OH:7])[cH:8][cH:9]1>>[CH3:1][N:2]([c:3]1[cH:4][cH:5][c:6]([OH:7])[cH:8][cH:9]1)[C:25]([CH2:24][CH2:23][CH2:22][CH2:21][CH2:20][Br:19])=[O:26],6-bromohexanoyl chloride|4-(methylamino)phenol,6-bromo-N-(4-hydroxyphenyl)-N-methylhexanamide
COc1cc(CO)c(Br)cc1F,COc1cc(CO)ccc1F.O=C1CCC(=O)N1Br,[F:1][c:2]1[c:3]([O:10][CH3:11])[cH:4][c:5]([CH2:8][OH:9])[cH:6][cH:7]1.[O:12]=[C:13]1[N:14]([Br:19])[C:15](=[O:16])[CH2:17][CH2:18]1>>[F:1][c:2]1[c:3]([O:10][CH3:11])[cH:4][c:5]([CH2:8][OH:9])[c:6]([Br:19])[cH:7]1,"(4-fluoro-3-methoxyphenyl)methanol|1-bromopyrrolidine-2,5-dione",(2-bromo-4-fluoro-5-methoxyphenyl)methanol
CCOC(=O)NNC(=S)NC,CN=C=S.CCOC(=O)NN,[CH3:1][N:2]=[C:3]=[S:4].[NH:5]([NH2:6])[C:7](=[O:8])[O:9][CH2:10][CH3:11]>>[CH3:1][NH:2][C:3](=[S:4])[NH:6][NH:5][C:7](=[O:8])[O:9][CH2:10][CH3:11],methylimino(sulfanylidene)methane|ethyl N-aminocarbamate,ethyl N-(methylcarbamothioylamino)carbamate
CC(=O)c1ccc(OCCCCl)c(N(C)C)c1,ClCCCBr.CC(=O)c1ccc(O)c(N(C)C)c1,[Br:16][CH2:17][CH2:18][CH2:19][Cl:20].[OH:3][c:4]1[c:5]([N:13]([CH3:14])[CH3:15])[cH:6][c:7]([C:10]([CH3:11])=[O:12])[cH:8][cH:9]1>>[O:3]([c:4]1[c:5]([N:13]([CH3:14])[CH3:15])[cH:6][c:7]([C:10]([CH3:11])=[O:12])[cH:8][cH:9]1)[CH2:17][CH2:18][CH2:19][Cl:20],1-bromo-3-chloropropane|1-[3-(dimethylamino)-4-hydroxyphenyl]ethanone,1-[4-(3-chloropropoxy)-3-(dimethylamino)phenyl]ethanone
CCOC=CC(=O)C(C)(F)F,C=COCC.CC(F)(F)C(=O)O,[CH:14](=[CH2:15])[O:16][CH2:17][CH3:18].[F:1][C:2]([C:3](=[O:4])[OH:5])([CH3:6])[F:7]>>[F:1][C:2]([C:3](=[O:4])[CH:15]=[CH:14][O:16][CH2:17][CH3:18])([CH3:6])[F:7],"ethenoxyethane|2,2-difluoropropanoic acid","1-ethoxy-4,4-difluoropent-1-en-3-one"
