reactant_smiles,reactant_iupac,product_smiles,product_iupac,reagent_smiles,solvent_smiles,catalyst_smiles
C1CCOC1.Cc1ccc2c(Cl)nccc2c1[N+](=O)[O-].Cl,oxolane|1-chloro-6-methyl-5-nitroisoquinoline|chlorane,Cc1ccc2c(=O)[nH]ccc2c1[N+](=O)[O-],6-methyl-5-nitro-2H-isoquinolin-1-one,,,
ClCCl.COc1ccc(CC(=O)O)cc1OC.O=S(Cl)Cl,"dichloromethane|2-(3,4-dimethoxyphenyl)acetic acid|thionyl dichloride",COc1ccc(CC(=O)O)cc1OC.[Cl-],"2-(3,4-dimethoxyphenyl)acetic acid|chloride",,,
BrCc1ccccc1.COC(=O)CC(=O)c1cccnc1.C1CCOC1.Cl.[H-].[Na+],bromomethylbenzene|methyl 3-oxo-3-pyridin-3-ylpropanoate|oxolane|chlorane|hydride|sodium(1+),COC(=O)CC(=O)c1cccnc1Cc1ccccc1,methyl 3-(2-benzylpyridin-3-yl)-3-oxopropanoate,,,
CC(C)CCON=O.CC(C)=CCn1c(C)cnc1[N+](=O)[O-].Cl,3-methylbutyl nitrite|5-methyl-1-(3-methylbut-2-enyl)-2-nitroimidazole|chlorane,Cc1cnc([N+](=O)[O-])n1CC(N=O)C(C)(C)Cl,1-(3-chloro-3-methyl-2-nitrosobutyl)-5-methyl-2-nitroimidazole,,,
CO.CN.CC(C)(C)OC(=O)c1cccnc1Cl,methanol|methanamine|tert-butyl 2-chloropyridine-3-carboxylate,CNc1ncccc1C(=O)OC(C)(C)C,tert-butyl 2-(methylamino)pyridine-3-carboxylate,,,
ClCCCCBr.CC(C)(C)[O-].CN(C)C=O.[K+].O.O=C1CCCCc2sccc2N1,"1-bromo-4-chlorobutane|2-methylpropan-2-olate|N,N-dimethylformamide|potassium(1+)|oxidane|6,7,8,9-tetrahydro-4H-thieno[3,2-b]azocin-5-one",O=C1CCCCc2sccc2N1CCCCCl,"4-(4-chlorobutyl)-6,7,8,9-tetrahydrothieno[3,2-b]azocin-5-one",,,
CCOC(C)=O.ClC(Cl)(Cl)Cl.Cc1ccn(-c2ccc(I)cc2)n1.[N-]=[N+]=[N-].CC(C)(C#N)N=NC(C)(C)C#N.[Na+].O=C1CCC(=O)N1Br.O,"ethyl acetate|tetrachloromethane|1-(4-iodophenyl)-3-methylpyrazole|azide|2-(2-cyanopropan-2-yldiazenyl)-2-methylpropanenitrile|sodium(1+)|1-bromopyrrolidine-2,5-dione|oxidane",[N-]=[N+]=NCc1ccn(-c2ccc(I)cc2)n1,3-(azidomethyl)-1-(4-iodophenyl)pyrazole,,,
CNC.CN(C)C(=O)c1cc(Cl)ccn1.O=C(Cl)c1cc(Cl)ccn1.Nc1ccc(O)cc1,"N-methylmethanamine|4-chloro-N,N-dimethylpyridine-2-carboxamide|4-chloropyridine-2-carbonyl chloride|4-aminophenol",CN(C)C(=O)c1cc(Oc2ccc(N)cc2)ccn1,"4-(4-aminophenoxy)-N,N-dimethylpyridine-2-carboxamide",,,
CCCBr.CC1CO1.CCN(CC)CC.CCCCCC.CN(C)P(=O)(N(C)C)N(C)C.O.COc1cc([N+](=O)[O-])c2ncccc2c1O,"1-bromopropane|2-methyloxirane|N,N-diethylethanamine|hexane|N-[bis(dimethylamino)phosphoryl]-N-methylmethanamine|oxidane|6-methoxy-8-nitroquinolin-5-ol",CCCOc1c(OC)cc([N+](=O)[O-])c2ncccc12,6-methoxy-8-nitro-5-propoxyquinoline,,,
Cc1nc2nc(SCc3ccccc3)nn2c(O)c1Cl.O=P(Cl)(Cl)Cl,"2-benzylsulfanyl-6-chloro-5-methyl-1H-[1,2,4]triazolo[1,5-a]pyrimidin-7-one|phosphoryl trichloride",Cc1nc2nc(SCc3ccccc3)nn2c(Cl)c1Cl,"2-benzylsulfanyl-6,7-dichloro-5-methyl-[1,2,4]triazolo[1,5-a]pyrimidine",,,
[Br-].[C-]#N.CCCC[N+](CCCC)(CCCC)CCCC.COc1ccc2c(c1)CCCC2=O.[Na+].O=[N+]([O-])c1ccccc1,"bromide|cyanide|tetrabutylazanium|6-methoxy-3,4-dihydro-2H-naphthalen-1-one|sodium(1+)|nitrobenzene",COc1ccc2c(c1)CCC=C2C#N,"6-methoxy-3,4-dihydronaphthalene-1-carbonitrile",,,
OC1CCc2cnc3c(c21)CCO3.C[N+]1([O-])CCOCC1.CC#N,"5-oxa-7-azatricyclo[7.3.0.02,6]dodeca-1,6,8-trien-12-ol|4-methyl-4-oxidomorpholin-4-ium|acetonitrile",O=C1CCc2cnc3c(c21)CCO3,"5-oxa-7-azatricyclo[7.3.0.02,6]dodeca-1,6,8-trien-12-one",,,
O=C([O-])[O-].CN(C)C=O.BrC1CCCC1.[I-].[K+].[K+].[K+].O.COc1ccc(C=O)cc1O,"carbonate|N,N-dimethylformamide|bromocyclopentane|iodide|potassium(1+)|potassium(1+)|potassium(1+)|oxidane|3-hydroxy-4-methoxybenzaldehyde",COc1ccc(C=O)cc1OC1CCCC1,3-cyclopentyloxy-4-methoxybenzaldehyde,,,
[Ag+].CC(C)(C)c1cccc(C(C)(C)C)n1.OCCc1ccc(Cl)cc1.O=S(=O)([O-])C(F)(F)F.CCOC(=O)CI,"silver(1+)|2,6-ditert-butylpyridine|2-(4-chlorophenyl)ethanol|trifluoromethanesulfonate|ethyl 2-iodoacetate",CCOC(=O)COCCc1ccc(Cl)cc1,ethyl 2-[2-(4-chlorophenyl)ethoxy]acetate,,,
C=CCCBr.C=CCCCBr.C=CCBr.C1CS1.C1CCOC1.[NH4+].O.Oc1ccc(Oc2ccccc2)cc1.O=C(OO)c1cccc(Cl)c1.N#C[S-].[SH],4-bromobut-1-ene|5-bromopent-1-ene|3-bromoprop-1-ene|thiirane|oxolane|azanium|oxidane|4-phenoxyphenol|3-chlorobenzenecarboperoxoic acid|thiocyanate|sulfane,Sc1ccc(Oc2ccccc2)cc1,4-phenoxybenzenethiol,,,
Cl.[I-].I.[K+].[NH4+].[OH-].O.O=C(c1ccccc1)c1ccc(O)cc1,chlorane|iodide|iodane|potassium(1+)|azanium|hydroxide|oxidane|(4-hydroxyphenyl)-phenylmethanone,O=C(c1ccccc1)c1ccc(O)c(I)c1,(4-hydroxy-3-iodophenyl)-phenylmethanone,,,
N#CCCCCCBr.O=C([O-])[O-].Clc1nsnc1-c1cccnc1.[K+].[K+].[Na].CN(C)C=O.O.O.S,"6-bromohexanenitrile|carbonate|3-chloro-4-pyridin-3-yl-1,2,5-thiadiazole|potassium(1+)|potassium(1+)|sodium|N,N-dimethylformamide|oxidane|oxidane|sulfane",N#CCCCCCSc1nsnc1-c1cccnc1,"6-[(4-pyridin-3-yl-1,2,5-thiadiazol-3-yl)sulfanyl]hexanenitrile",,,
CI.[H-].[Na+].C1CCOC1.c1cc(-c2n[nH]c(-c3ccncn3)n2)ncn1,"iodomethane|hydride|sodium(1+)|oxolane|4-(3-pyrimidin-4-yl-1H-1,2,4-triazol-5-yl)pyrimidine",Cn1nc(-c2ccncn2)nc1-c1ccncn1,"4-(1-methyl-5-pyrimidin-4-yl-1,2,4-triazol-3-yl)pyrimidine",,,
ClCc1cccnc1.Cl.O=[N+]([O-])c1ccc(O)cc1F.[H-].[Na+].CN(C)C=O,"3-(chloromethyl)pyridine|chlorane|3-fluoro-4-nitrophenol|hydride|sodium(1+)|N,N-dimethylformamide",O=[N+]([O-])c1ccc(OCc2cccnc2)cc1F,3-[(3-fluoro-4-nitrophenoxy)methyl]pyridine,,,
CCO.CC=Cc1ccc(O)c(OC)c1.ClCC1CO1.[Na+].[OH-],ethanol|2-methoxy-4-prop-1-enylphenol|2-(chloromethyl)oxirane|sodium(1+)|hydroxide,CC=C1Oc2cc(O)c(OC)cc21,"8-ethylidene-3-methoxy-7-oxabicyclo[4.2.0]octa-1,3,5-trien-4-ol",,,
ClCCl.COC(=O)c1ccc([N+](=O)[O-])cc1C(=O)OC,"dichloromethane|dimethyl 4-nitrobenzene-1,2-dicarboxylate",COC(=O)c1ccc(N)cc1C(=O)OC,"dimethyl 4-aminobenzene-1,2-dicarboxylate",,,
O=C([O-])[O-].CC[Zn]CC.CCCCCC.CC1=CCC(CC2OCCO2)C1(C)C.ClCCCl.ICI.[K+].[K+],"carbonate|zinc;ethane|hexane|2-[(2,2,3-trimethylcyclopent-3-en-1-yl)methyl]-1,3-dioxolane|1,2-dichloroethane|diiodomethane|potassium(1+)|potassium(1+)",CC1(C)C(CC2OCCO2)CC2CC21C,"2-[(1,2,2-trimethyl-3-bicyclo[3.1.0]hexanyl)methyl]-1,3-dioxolane",,,
O=C1CCC(=O)N1Br.O=C(OOC(=O)c1ccccc1)c1ccccc1.ClC(Cl)(Cl)Cl.CCOC(=O)C=C(C)Oc1cc(Cl)ccc1Cl,"1-bromopyrrolidine-2,5-dione|benzoyl benzenecarboperoxoate|tetrachloromethane|ethyl 3-(2,5-dichlorophenoxy)but-2-enoate",CCOC(=O)C=C(CBr)Oc1cc(Cl)ccc1Cl,"ethyl 4-bromo-3-(2,5-dichlorophenoxy)but-2-enoate",,,
COC(C)(C)C(=O)CBr.O=C([O-])[O-].CC#N.[K+].[K+].Oc1ccc(Cl)cc1Cl,"1-bromo-3-methoxy-3-methylbutan-2-one|carbonate|acetonitrile|potassium(1+)|potassium(1+)|2,4-dichlorophenol",COC(C)(C)C(=O)COc1ccc(Cl)cc1Cl,"1-(2,4-dichlorophenoxy)-3-methoxy-3-methylbutan-2-one",,,
CCNCCCOC.CC(=O)[O-].CC(=O)O.N#CN,N-ethyl-3-methoxypropan-1-amine|acetate|acetic acid|cyanamide,CCN(CCCOC)C(=N)N,1-ethyl-1-(3-methoxypropyl)guanidine,,,
C1CCOC1.CCO.N#Cc1c(F)ccc([N+](=O)[O-])c1F.N,"oxolane|ethanol|2,6-difluoro-3-nitrobenzonitrile|azane",N#Cc1c(F)ccc([N+](=O)[O-])c1N,2-amino-6-fluoro-3-nitrobenzonitrile,,,
O=C([O-])O.ClCCl.CO.C1=CC2CC3OC1CC2O3.[K+].N#Cc1ccccc1.OO,"hydrogen carbonate|dichloromethane|methanol|9,10-dioxatricyclo[4.3.1.03,8]dec-4-ene|potassium(1+)|benzonitrile|hydrogen peroxide",NC(=O)c1ccccc1,benzamide,,,
O=C([O-])O.CCN.CC(=O)O.ClCCCl.O=Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1.[Na+],"hydrogen carbonate|ethanamine|acetic acid|1,2-dichloroethane|3,5-bis(trifluoromethyl)benzaldehyde|sodium(1+)",CCNCc1cc(C(F)(F)F)cc(C(F)(F)F)c1,"N-[[3,5-bis(trifluoromethyl)phenyl]methyl]ethanamine",,,
CCOC(C)=O.CC(=O)c1cnc2cn[nH]c2c1Cl.CCO.C=CCN,"ethyl acetate|1-(7-chloro-1H-pyrazolo[4,3-b]pyridin-6-yl)ethanone|ethanol|prop-2-en-1-amine",C=CCNc1c(C(C)=O)cnc2cn[nH]c12,"1-[7-(prop-2-enylamino)-1H-pyrazolo[4,3-b]pyridin-6-yl]ethanone",,,
COC(=O)C(C#N)C1(C)CCOc2ccc(F)cc21.CS(C)=O.[Cl-].[Na+].O,"methyl 2-cyano-2-(6-fluoro-4-methyl-2,3-dihydrochromen-4-yl)acetate|methylsulfinylmethane|chloride|sodium(1+)|oxidane",CC1(CC#N)CCOc2ccc(F)cc21,"2-(6-fluoro-4-methyl-2,3-dihydrochromen-4-yl)acetonitrile",,,
CCO.[Na+].CC(=O)N1CCS(=O)(=O)c2ccccc2C1.[OH-].O,"ethanol|sodium(1+)|1-(1,1-dioxo-3,5-dihydro-2H-1lambda6,4-benzothiazepin-4-yl)ethanone|hydroxide|oxidane",O=S1(=O)CCNCc2ccccc21,"2,3,4,5-tetrahydro-1lambda6,4-benzothiazepine 1,1-dioxide",,,
CO.CCCCON=C(C(=O)OCC)c1csc(N)n1.[Na+].C1CCOC1.[OH-],"methanol|ethyl 2-(2-amino-1,3-thiazol-4-yl)-2-butoxyiminoacetate|sodium(1+)|oxolane|hydroxide",CCCCON=C(C(=O)O)c1csc(N)n1,"2-(2-amino-1,3-thiazol-4-yl)-2-butoxyiminoacetic acid",,,
CCOC(C)=O.CS(=O)(=O)c1sccc1S(=O)(=O)Cl.N,ethyl acetate|2-methylsulfonylthiophene-3-sulfonyl chloride|azane,CS(=O)(=O)c1sccc1S(N)(=O)=O,2-methylsulfonylthiophene-3-sulfonamide,,,
O=Cc1cccc(C(=O)O)c1.CNc1cccc(F)c1.CCN(CC)CC.Cc1ccccc1.Cl.C1CCOC1.CN(C)C=O.O=S(Cl)Cl,"3-formylbenzoic acid|3-fluoro-N-methylaniline|N,N-diethylethanamine|toluene|chlorane|oxolane|N,N-dimethylformamide|thionyl dichloride",CN(C(=O)c1cccc(C=O)c1)c1cccc(F)c1,N-(3-fluorophenyl)-3-formyl-N-methylbenzamide,,,
O=C1CCC(=O)N1Br.C=Cc1ccc(CC)cn1.Cc1ccccc1.CC(C)(C)O.[Na+].[OH-].O.O=Cc1ccc(O)cc1,"1-bromopyrrolidine-2,5-dione|2-ethenyl-5-ethylpyridine|toluene|2-methylpropan-2-ol|sodium(1+)|hydroxide|oxidane|4-hydroxybenzaldehyde",CCc1ccc(C(O)COc2ccc(C=O)cc2)nc1,4-[2-(5-ethylpyridin-2-yl)-2-hydroxyethoxy]benzaldehyde,,,
O=C([O-])[O-].O=C=O.CC(C)=O.[K+].[K+].O.Oc1cccc2c1CCCC2,"carbonate|O=C=O|propan-2-one|potassium(1+)|potassium(1+)|oxidane|5,6,7,8-tetrahydronaphthalen-1-ol",O=C(O)c1ccc2c(c1O)CCCC2,"1-hydroxy-5,6,7,8-tetrahydronaphthalene-2-carboxylic acid",,,
CCOC(=O)C(C)C(=O)N1CCCC1C(=O)O.CO.[Na+].[OH-],1-(3-ethoxy-2-methyl-3-oxopropanoyl)pyrrolidine-2-carboxylic acid|methanol|sodium(1+)|hydroxide,CC(C(=O)O)C(=O)N1CCCC1C(=O)O,1-(2-carboxypropanoyl)pyrrolidine-2-carboxylic acid,,,
O=Cc1cn(CO)c2ccccc12.ClCCl.O=S(Cl)Cl,1-(hydroxymethyl)indole-3-carbaldehyde|dichloromethane|thionyl dichloride,O=Cc1cn(CCl)c2ccccc12,1-(chloromethyl)indole-3-carbaldehyde,,,
CCO.C=Cc1ccc2c(c1)OCO2.Cl.NC(CS)C(=O)O.[Na+].[OH-].O.O,"ethanol|5-ethenyl-1,3-benzodioxole|chlorane|2-amino-3-sulfanylpropanoic acid|sodium(1+)|hydroxide|oxidane|oxidane",NC(CSCCc1ccc2c(c1)OCO2)C(=O)O,"2-amino-3-[2-(1,3-benzodioxol-5-yl)ethylsulfanyl]propanoic acid",,,
O=C([O-])[O-].O=[N+]([O-])c1ccc(Cl)nc1.[K+].[K+].CN(C)C=O.Sc1cccc2cnccc12,"carbonate|2-chloro-5-nitropyridine|potassium(1+)|potassium(1+)|N,N-dimethylformamide|isoquinoline-5-thiol",O=[N+]([O-])c1ccc(Sc2cccc3cnccc23)nc1,5-(5-nitropyridin-2-yl)sulfanylisoquinoline,,,
C#CCCC(=O)OCC.CCN(CC)CC.I[Cu]I.Ic1ccccn1.Cl[Pd]Cl.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,"ethyl pent-4-ynoate|N,N-diethylethanamine|diiodocopper|2-iodopyridine|dichloropalladium|triphenylphosphane|triphenylphosphane",CCOC(=O)CCC#Cc1ccccn1,ethyl 5-pyridin-2-ylpent-4-ynoate,,,
N#Cc1ccc(OC(F)(F)F)cc1.[K+].[O-][Br+2]([O-])[O-].O.O=S(=O)(O)O,4-(trifluoromethoxy)benzonitrile|potassium(1+)|[O-][Br+2]([O-])[O-]|oxidane|sulfuric acid,N#Cc1ccc(OC(F)(F)F)c(Br)c1,3-bromo-4-(trifluoromethoxy)benzonitrile,,,
CCOCC.Clc1ccc2nccn2n1.Cl.NCCCN1CCOCC1,"ethoxyethane|6-chloroimidazo[1,2-b]pyridazine|chlorane|3-morpholin-4-ylpropan-1-amine",Cl.c1cn2nc(NCCCN3CCOCC3)ccc2n1,"chlorane|N-(3-morpholin-4-ylpropyl)imidazo[1,2-b]pyridazin-6-amine",,,
CO.COc1ccc([N+](=O)[O-])c(NCC(OC)OC)n1,"methanol|N-(2,2-dimethoxyethyl)-6-methoxy-3-nitropyridin-2-amine",COc1ccc(N)c(NCC(OC)OC)n1,"2-N-(2,2-dimethoxyethyl)-6-methoxypyridine-2,3-diamine",,,
Br.N#Cc1cc(C(O)CNC2CCC2)cc(Br)c1N,bromane|2-amino-3-bromo-5-[2-(cyclobutylamino)-1-hydroxyethyl]benzonitrile,N#Cc1cc(C(O)CNC2CCC2)ccc1N,2-amino-5-[2-(cyclobutylamino)-1-hydroxyethyl]benzonitrile,,,
CN1CCC2(CC1)CC(=O)c1ccccc12.Cl.CON,"1'-methylspiro[2H-indene-3,4'-piperidine]-1-one|chlorane|O-methylhydroxylamine",CON=C1CC2(CCN(C)CC2)c2ccccc21,"N-methoxy-1'-methylspiro[2H-indene-3,4'-piperidine]-1-imine",,,
Br.COC(=O)C(C)(C)Sc1cc(Cl)ccc1OC,bromane|methyl 2-(5-chloro-2-methoxyphenyl)sulfanyl-2-methylpropanoate,CC1(C)Sc2cc(Cl)ccc2OC1=O,"6-chloro-3,3-dimethyl-1,4-benzoxathiin-2-one",,,
CCCCP(CCCC)CCCC.ClCc1ccccc1.Cl[SiH2]Cl,tributylphosphane|chloromethylbenzene|dichlorosilane,Cl[SiH](Cl)Cc1ccccc1,benzyl(dichloro)silane,,,
O=[N+]([O-])c1cc(Br)ccc1C(F)(F)F.C1CCOC1.CCO.[Cl-].[NH4+].O,4-bromo-2-nitro-1-(trifluoromethyl)benzene|oxolane|ethanol|chloride|azanium|oxidane,Nc1cc(Br)ccc1C(F)(F)F,5-bromo-2-(trifluoromethyl)aniline,,,
C.CCO.[Pd].OCc1cccc(C2=CCSC2)c1,"methane|ethanol|palladium|[3-(2,5-dihydrothiophen-3-yl)phenyl]methanol",OCc1cccc(C2CCSC2)c1,[3-(thiolan-3-yl)phenyl]methanol,,,
C[Si](C)(C)C#N.CC(=O)O.Cc1ccc(N)cc1.[NH4+].O=C1CCCCC1.[OH-],trimethylsilylformonitrile|acetic acid|4-methylaniline|azanium|cyclohexanone|hydroxide,Cc1ccc(NC2(C#N)CCCCC2)cc1,1-(4-methylanilino)cyclohexane-1-carbonitrile,,,
C1CNCCN1.CC#N.FC(F)(F)Sc1cnc2cnc(Cl)cn12,"piperazine|acetonitrile|6-chloro-3-(trifluoromethylsulfanyl)imidazo[1,2-a]pyrazine",FC(F)(F)Sc1cnc2cnc(N3CCNCC3)cn12,"6-piperazin-1-yl-3-(trifluoromethylsulfanyl)imidazo[1,2-a]pyrazine",,,
Br[Mg]c1ccccc1.C1CCOC1.Clc1ccc2ccccc2n1,magnesium;benzene;bromide|oxolane|2-chloroquinoline,c1ccc(-c2ccc3ccccc3n2)cc1,2-phenylquinoline,,,
COCn1c(-c2ccccc2)c(C)c(=O)[nH]c1=S.Cl,1-(methoxymethyl)-5-methyl-6-phenyl-2-sulfanylidenepyrimidin-4-one|chlorane,Cc1c(-c2ccccc2)[nH]c(=S)[nH]c1=O,5-methyl-6-phenyl-2-sulfanylidene-1H-pyrimidin-4-one,,,
CC(=O)[O-].CC#N.Fc1cccc(CBr)c1F.[Na+].O.Oc1cc(O)nc(S)n1,"acetate|acetonitrile|1-(bromomethyl)-2,3-difluorobenzene|sodium(1+)|oxidane|6-hydroxy-2-sulfanylidene-1H-pyrimidin-4-one",Oc1cc(O)nc(SCc2cccc(F)c2F)n1,"2-[(2,3-difluorophenyl)methylsulfanyl]-4-hydroxy-1H-pyrimidin-6-one",,,
CCN(CC)C(=O)CBr.CO.C[O-].[Na+].O=C(O)CCS,"2-bromo-N,N-diethylacetamide|methanol|methanolate|sodium(1+)|3-sulfanylpropanoic acid",CCN(CC)C(=O)CSCCC(=O)O,3-[2-(diethylamino)-2-oxoethyl]sulfanylpropanoic acid,,,
[Na+].[OH-].O=P(Br)(Br)Br.O=c1[nH]cccc1-c1cccnc1,sodium(1+)|hydroxide|O=P(Br)(Br)Br|3-pyridin-3-yl-1H-pyridin-2-one,Brc1ncccc1-c1cccnc1,2-bromo-3-pyridin-3-ylpyridine,,,
C1CCOC1.CC(C)OC(=O)N=NC(=O)OC(C)C.O=C1CCCN1CCO.O=C1c2ccccc2C(=O)N1O.c1ccc(P(c2ccccc2)c2ccccc2)cc1,"oxolane|propan-2-yl N-propan-2-yloxycarbonyliminocarbamate|1-(2-hydroxyethyl)pyrrolidin-2-one|2-hydroxyisoindole-1,3-dione|triphenylphosphane",O=C1CCCN1CCON1C(=O)c2ccccc2C1=O,"2-[2-(2-oxopyrrolidin-1-yl)ethoxy]isoindole-1,3-dione",,,
Cc1ccc(N)cc1Br.CC(C)C(=O)Cl,3-bromo-4-methylaniline|2-methylpropanoyl chloride,Cc1ccc(NC(=O)C(C)C)cc1Br,N-(3-bromo-4-methylphenyl)-2-methylpropanamide,,,
CCO.Cl.NCC(=O)CCC(=O)O.O.O=P(O)(O)O,ethanol|chlorane|5-amino-4-oxopentanoic acid|oxidane|phosphoric acid,NCC(=O)CCC(=O)O.O=P(O)(O)O,5-amino-4-oxopentanoic acid|phosphoric acid,,,
COc1c(Br)ccc2[nH]ncc12.C1CCOC1.C[Si](C)(C)CCOCCl.[H-].[Na+],5-bromo-4-methoxy-1H-indazole|oxolane|2-(chloromethoxy)ethyl-trimethylsilane|hydride|sodium(1+),COc1c(Br)ccc2c1cnn2COCC[Si](C)(C)C,2-[(5-bromo-4-methoxyindazol-1-yl)methoxy]ethyl-trimethylsilane,,,
CCOC(C)O.CCCN(CCl)C(=O)C(Cl)Cl.CCOCCO.[Na].O,"1-ethoxyethanol|2,2-dichloro-N-(chloromethyl)-N-propylacetamide|2-ethoxyethanol|sodium|oxidane",CCCN(COCCOCC)C(=O)C(Cl)Cl,"2,2-dichloro-N-(2-ethoxyethoxymethyl)-N-propylacetamide",,,
CC(Br)CC1OCCO1.Fc1cnc(Cl)nc1.C1CCOC1.[Zn],"2-(2-bromopropyl)-1,3-dioxolane|2-chloro-5-fluoropyrimidine|oxolane|zinc",CC(CC1OCCO1)c1ncc(F)cn1,"2-[1-(1,3-dioxolan-2-yl)propan-2-yl]-5-fluoropyrimidine",,,
