reactant_smiles,reactant_iupac,product_smiles,product_iupac,reagent_smiles,solvent_smiles,catalyst_smiles
Oc1ccc(Br)cc1.C#CC(C)(C)O.ClCCl.CCOC(=O)N=NC(=O)OCC.c1ccc(P(c2ccccc2)c2ccccc2)cc1,4-bromophenol|2-methylbut-3-yn-2-ol|dichloromethane|ethyl N-ethoxycarbonyliminocarbamate|triphenylphosphane,C#CC(C)(C)Oc1ccc(Br)cc1,1-bromo-4-(2-methylbut-3-yn-2-yloxy)benzene,,,
ClCCCBr.CC#N.O=Cc1ccc(O)cc1Cl.[K+].[K+].O=C([O-])[O-],1-bromo-3-chloropropane|acetonitrile|2-chloro-4-hydroxybenzaldehyde|potassium(1+)|potassium(1+)|carbonate,O=Cc1ccc(OCCCCl)cc1Cl,2-chloro-4-(3-chloropropoxy)benzaldehyde,,,
C=CCBr.CS(=O)(=O)c1cccc(C2CCNCC2)c1,3-bromoprop-1-ene|4-(3-methylsulfonylphenyl)piperidine,C=CCN1CCC(c2cccc(S(C)(=O)=O)c2)CC1,4-(3-methylsulfonylphenyl)-1-prop-2-enylpiperidine,,,
[BH4-].CO.Cl.[Na+].COC(=O)c1cnc(CC=O)cn1,boranuide|methanol|chlorane|sodium(1+)|methyl 5-(2-oxoethyl)pyrazine-2-carboxylate,COC(=O)c1cnc(CCO)cn1,methyl 5-(2-hydroxyethyl)pyrazine-2-carboxylate,,,
CCOC(C)(OCC)P(=O)(OCC)C1CCCO1.CCO.C[Si](C)(C)Cl.ClCCl,"2-[1,1-diethoxyethyl(ethoxy)phosphoryl]oxolane|ethanol|chloro(trimethyl)silane|dichloromethane",CCOP(O)C1CCCO1,ethoxy(oxolan-2-yl)phosphinous acid,,,
COc1cc(C=O)cc(OC)c1OC.C[O-].CO.[Na+].O=C(O)C(F)(F)F.COP(=O)([O-])OC,"3,4,5-trimethoxybenzaldehyde|methanolate|methanol|sodium(1+)|2,2,2-trifluoroacetic acid|dimethyl phosphate",COc1cc(C(O)P(=O)(OC)OC)cc(OC)c1OC,"dimethoxyphosphoryl-(3,4,5-trimethoxyphenyl)methanol",,,
Cc1cc(Br)cnc1Br.CN(C)C1CCNC1.CCOC(C)=O.O.Cc1ccc(S(=O)(=O)O)cc1,"2,5-dibromo-3-methylpyridine|N,N-dimethylpyrrolidin-3-amine|ethyl acetate|oxidane|4-methylbenzenesulfonic acid",Cc1cc(Br)cnc1N1CCC(N(C)C)C1,"1-(5-bromo-3-methylpyridin-2-yl)-N,N-dimethylpyrrolidin-3-amine",,,
CCO.O=[N+]([O-])c1cc(Cl)ccc1COC1CCCCO1.[H][H],ethanol|2-[(4-chloro-2-nitrophenyl)methoxy]oxane|molecular hydrogen,Nc1cc(Cl)ccc1COC1CCCCO1,5-chloro-2-(oxan-2-yloxymethyl)aniline,,,
CN.CO.COC(=O)c1cccc(O)c1,methanamine|methanol|methyl 3-hydroxybenzoate,CNC(=O)c1cccc(O)c1,3-hydroxy-N-methylbenzamide,,,
O=C([O-])O.ClCCl.F.[Na+].O=C(OCc1ccccc1)N1CCC2(CC1)CO2.c1ccncc1,hydrogen carbonate|dichloromethane|fluorane|sodium(1+)|benzyl 1-oxa-6-azaspiro[2.5]octane-6-carboxylate|pyridine,O=C(OCc1ccccc1)N1CCC(F)(CO)CC1,benzyl 4-fluoro-4-(hydroxymethyl)piperidine-1-carboxylate,,,
CCC#Cc1ccc(F)cc1OCOC.CC(C)=O.Cl,1-but-1-ynyl-4-fluoro-2-(methoxymethoxy)benzene|propan-2-one|chlorane,CCC#Cc1ccc(F)cc1O,2-but-1-ynyl-5-fluorophenol,,,
[BH4-].CO.Cc1cnc2c(c1)C(=O)CCC2.[Na+].O,"boranuide|methanol|3-methyl-7,8-dihydro-6H-quinolin-5-one|sodium(1+)|oxidane",Cc1cnc2c(c1)C(O)CCC2,"3-methyl-5,6,7,8-tetrahydroquinolin-5-ol",,,
[Br-].C[Mg+].Fc1ccc(Cc2ccsc2I)cc1,bromide|C[Mg+]|3-[(4-fluorophenyl)methyl]-2-iodothiophene,Cc1sccc1Cc1ccc(F)cc1,3-[(4-fluorophenyl)methyl]-2-methylthiophene,,,
CCOC(C)=O.C.CCCCCC.Cc1cc(-c2ccccc2)cc([N+](=O)[O-])c1N.[Pd],ethyl acetate|methane|hexane|2-methyl-6-nitro-4-phenylaniline|palladium,Cc1cc(-c2ccccc2)cc(N)c1N,"3-methyl-5-phenylbenzene-1,2-diamine",,,
[Al+3].CC(=O)OCCn1ncc2ccc3occc3c21.CO.[H-].[H-].[H-].[H-].[Li+].[Mg+2].[Na+].O=S(=O)([O-])[O-].C1CCOC1.[OH-].O,"aluminum(3+)|2-furo[2,3-g]indazol-1-ylethyl acetate|methanol|hydride|hydride|hydride|hydride|lithium(1+)|magnesium(2+)|sodium(1+)|sulfate|oxolane|hydroxide|oxidane",OCCn1ncc2ccc3occc3c21,"2-furo[2,3-g]indazol-1-ylethanol",,,
COC(=O)C=C(CCl)OC.COC(=O)CC(=O)OC,methyl 4-chloro-3-methoxybut-2-enoate|dimethyl propanedioate,COC(=O)C=C(CC(C(=O)OC)C(=O)OC)OC,"trimethyl 3-methoxybut-3-ene-1,1,4-tricarboxylate",,,
COc1ccc(CN2CC(C)C3OC(=O)NC3C2)cc1.CO.[H][H].[OH-].[OH-].[Pd+2],"5-[(4-methoxyphenyl)methyl]-7-methyl-3,3a,4,6,7,7a-hexahydro-[1,3]oxazolo[4,5-c]pyridin-2-one|methanol|molecular hydrogen|hydroxide|hydroxide|palladium(2+)",CC1CNCC2NC(=O)OC12,"7-methyl-3a,4,5,6,7,7a-hexahydro-3H-[1,3]oxazolo[4,5-c]pyridin-2-one",,,
CI.CN(C)C=O.[Cl-].[H-].[NH4+].[Na+].O.CCOC(=O)c1cnc(-c2ccccc2)[nH]1,"iodomethane|N,N-dimethylformamide|chloride|hydride|azanium|sodium(1+)|oxidane|ethyl 2-phenyl-1H-imidazole-5-carboxylate",CCOC(=O)c1cn(C)c(-c2ccccc2)n1,ethyl 1-methyl-2-phenylimidazole-4-carboxylate,,,
B.CCCCCC.CSC.CCO.C=CCC(C)(C)COC.[Na+].[OH-].O.OO,"borane|hexane|methylsulfanylmethane|ethanol|5-methoxy-4,4-dimethylpent-1-ene|sodium(1+)|hydroxide|oxidane|hydrogen peroxide",COCC(C)(C)CCCO,"5-methoxy-4,4-dimethylpentan-1-ol",,,
CCOC(C)OCC#CC(O)c1ccc2c(c1)OCO2.ClCCl,"1-(1,3-benzodioxol-5-yl)-4-(1-ethoxyethoxy)but-2-yn-1-ol|dichloromethane",CCOC(C)OCC#CC(=O)c1ccc2c(c1)OCO2,"1-(1,3-benzodioxol-5-yl)-4-(1-ethoxyethoxy)but-2-yn-1-one",,,
Oc1cncc(Br)c1.C1CCOC1.O=C1CCC(CO)N1,5-bromopyridin-3-ol|oxolane|5-(hydroxymethyl)pyrrolidin-2-one,O=C1CCC(COc2cncc(Br)c2)N1,5-[(5-bromopyridin-3-yl)oxymethyl]pyrrolidin-2-one,,,
CCI.[H-].[Na+].CN(C)C=O.O.COC(=O)c1c[nH]c2ccccc12,"iodoethane|hydride|sodium(1+)|N,N-dimethylformamide|oxidane|methyl 1H-indole-3-carboxylate",CCn1cc(C(=O)OC)c2ccccc21,methyl 1-ethylindole-3-carboxylate,,,
CCOC(=O)Cl.O=S1(=O)Cc2ccc(F)cc2N1.c1ccncc1,"ethyl carbonochloridate|6-fluoro-1,3-dihydro-2,1-benzothiazole 2,2-dioxide|pyridine",CCOC(=O)N1c2cc(F)ccc2CS1(=O)=O,"ethyl 6-fluoro-2,2-dioxo-3H-2,1-benzothiazole-1-carboxylate",,,
CN(C)CCO.Nc1cc(F)c(F)cc1[N+](=O)[O-].[H-].[Na+].c1ccncc1,"2-(dimethylamino)ethanol|4,5-difluoro-2-nitroaniline|hydride|sodium(1+)|pyridine",CN(C)CCOc1cc(N)c([N+](=O)[O-])cc1F,5-[2-(dimethylamino)ethoxy]-4-fluoro-2-nitroaniline,,,
CC1(CCCC=O)CCCC2(CO1)OCCO2.[Li]C,"4-(9-methyl-1,4,10-trioxaspiro[4.6]undecan-9-yl)butanal|lithium;carbanide",CC(O)CCCC1(C)CCCC2(CO1)OCCO2,"5-(9-methyl-1,4,10-trioxaspiro[4.6]undecan-9-yl)pentan-2-ol",,,
B.CC(=O)c1ccc(C(=O)OC(C)c2ccccc2)cc1.CCO.ClCCl.[Na].C1CCOC1,borane|1-phenylethyl 4-acetylbenzoate|ethanol|dichloromethane|sodium|oxolane,CC(O)c1ccc(C(=O)OC(C)c2ccccc2)cc1,1-phenylethyl 4-(1-hydroxyethyl)benzoate,,,
CCO.COc1ccc(C#CCCO)c(OC)c1.[Pd],"ethanol|4-(2,4-dimethoxyphenyl)but-3-yn-1-ol|palladium",COc1ccc(CCCCO)c(OC)c1,"4-(2,4-dimethoxyphenyl)butan-1-ol",,,
Cc1c(N)cccc1Br.O=C1Cc2ccccc2C(=O)O1.CC(=O)O,"3-bromo-2-methylaniline|4H-isochromene-1,3-dione|acetic acid",Cc1c(Br)cccc1N1C(=O)Cc2ccccc2C1=O,"2-(3-bromo-2-methylphenyl)-4H-isoquinoline-1,3-dione",,,
O=C(Cl)C(=O)Cl.O=C(O)c1cccc(Oc2ccc(F)cc2[N+](=O)[O-])c1.CN(C)C=O,"oxalyl dichloride|3-(4-fluoro-2-nitrophenoxy)benzoic acid|N,N-dimethylformamide",O=C(Cl)c1cccc(Oc2ccc(F)cc2[N+](=O)[O-])c1,3-(4-fluoro-2-nitrophenoxy)benzoyl chloride,,,
O=C([O-])[O-].Clc1ccccc1Cl.[Cu].Cc1ccc(I)cc1.[K+].[K+].c1ccc2c(c1)[nH]c1ccccc12,"carbonate|1,2-dichlorobenzene|copper|1-iodo-4-methylbenzene|potassium(1+)|potassium(1+)|9H-carbazole",Cc1ccc(-n2c3ccccc3c3ccccc32)cc1,9-(4-methylphenyl)carbazole,,,
CCO.CCC(C)N.Cc1cc([N+](=O)[O-])c(Cl)c([N+](=O)[O-])c1C,"ethanol|butan-2-amine|4-chloro-1,2-dimethyl-3,5-dinitrobenzene",CCC(C)Nc1c([N+](=O)[O-])cc(C)c(C)c1[N+](=O)[O-],"N-butan-2-yl-3,4-dimethyl-2,6-dinitroaniline",,,
CN(C)c1ccncc1.ClCCl.NCCc1ccccn1.O=C1CCC(=O)O1,"N,N-dimethylpyridin-4-amine|dichloromethane|2-pyridin-2-ylethanamine|oxolane-2,5-dione",O=C(O)CCC(=O)NCCc1ccccn1,4-oxo-4-(2-pyridin-2-ylethylamino)butanoic acid,,,
CCC(C(=O)[O-])n1c(=O)oc2ccc(OC)cc21.[Li+].C1CCOC1.[OH-].O,"2-(5-methoxy-2-oxo-1,3-benzoxazol-3-yl)butanoate|lithium(1+)|oxolane|hydroxide|oxidane",COc1ccc2oc(=O)n(CC(=O)O)c2c1,"2-(5-methoxy-2-oxo-1,3-benzoxazol-3-yl)acetic acid",,,
CCOC(=O)c1c(N)c2cccnc2n(CC)c1=O.CCO.CC(=O)O.[Na+].[OH-],"ethyl 4-amino-1-ethyl-2-oxo-1,8-naphthyridine-3-carboxylate|ethanol|acetic acid|sodium(1+)|hydroxide",CCn1c(=O)c(C(=O)O)c(N)c2cccnc21,"4-amino-1-ethyl-2-oxo-1,8-naphthyridine-3-carboxylic acid",,,
CCO.CC(=O)[O-].Cl.O=CN1CCC(C(=O)c2ccc(F)cc2F)CC1.NO.[NH4+].O,"ethanol|acetate|chlorane|4-(2,4-difluorobenzoyl)piperidine-1-carbaldehyde|hydroxylamine|azanium|oxidane",O=C(c1ccc(F)cc1F)C1CCN(C=NO)CC1,"(2,4-difluorophenyl)-[1-(hydroxyiminomethyl)piperidin-4-yl]methanone",,,
O=CC(=O)O.CCCCC(C)=O.O=P(O)(O)O,oxaldehydic acid|hexan-2-one|phosphoric acid,CCCC(=CC(=O)O)C(C)=O,3-acetylhex-2-enoic acid,,,
Fc1ccc2ccsc2c1Br.[Li]C(C)(C)C.COB(OC)OC,7-bromo-6-fluoro-1-benzothiophene|lithium;2-methylpropane|trimethyl borate,Oc1c(F)ccc2ccsc12,6-fluoro-1-benzothiophen-7-ol,,,
N#CC(Br)CCC(F)(F)C(F)(F)F.C[O-].CO.Cl.[O-]C(=[SH]CCC(F)(F)F)c1ccccc1.[Na+].C1CCOC1,"2-bromo-5,5,6,6,6-pentafluorohexanenitrile|methanolate|methanol|chlorane|[O-]C(=[SH]CCC(F)(F)F)c1ccccc1|sodium(1+)|oxolane",N#CC(CCC(F)(F)C(F)(F)F)SCCC(F)(F)F,"5,5,6,6,6-pentafluoro-2-(3,3,3-trifluoropropylsulfanyl)hexanenitrile",,,
CCSc1ccnc2ccc(Br)cc12.[Li]CCCC.C1CCOC1.CN(C)C=O.CCOC(C)=O.[Cl-].[NH4+],"6-bromo-4-ethylsulfanylquinoline|lithium;butane|oxolane|N,N-dimethylformamide|ethyl acetate|chloride|azanium",CCSc1ccnc2ccc(C=O)cc12,4-ethylsulfanylquinoline-6-carbaldehyde,,,
O=C([O-])O.CCON.COc1cccc(C(=O)C(=O)O)c1.Cl.Cl.[Na+].O,hydrogen carbonate|O-ethylhydroxylamine|2-(3-methoxyphenyl)-2-oxoacetic acid|chlorane|chlorane|sodium(1+)|oxidane,CCON=C(C(=O)O)c1cccc(OC)c1,2-ethoxyimino-2-(3-methoxyphenyl)acetic acid,,,
Cl.NC1CCCCC1.CCN1CC2OC2C1,chlorane|cyclohexanamine|3-ethyl-6-oxa-3-azabicyclo[3.1.0]hexane,CCN1CC(O)C(NC2CCCCC2)C1,4-(cyclohexylamino)-1-ethylpyrrolidin-3-ol,,,
Clc1ncc2scc(Br)c2n1.Cc1ccccc1.CCOC(C)=O.[Na+].[Na+].O=C([O-])[O-].OB(O)c1ccccc1,"7-bromo-2-chlorothieno[3,2-d]pyrimidine|toluene|ethyl acetate|sodium(1+)|sodium(1+)|carbonate|phenylboronic acid",Clc1ncc2scc(-c3ccccc3)c2n1,"2-chloro-7-phenylthieno[3,2-d]pyrimidine",,,
CCOC(C)=O.O=C(Cl)Cl.Nc1ncc(F)s1,"ethyl acetate|carbonyl dichloride|5-fluoro-1,3-thiazol-2-amine",O=C=Nc1ncc(F)s1,"5-fluoro-2-isocyanato-1,3-thiazole",,,
CC(=O)O.CCOC(=O)CC(=O)c1ccccc1.C1CCOC1.CN.CCO,acetic acid|ethyl 3-oxo-3-phenylpropanoate|oxolane|methanamine|ethanol,CCOC(=O)C=C(NC)c1ccccc1,ethyl 3-(methylamino)-3-phenylprop-2-enoate,,,
CCCCNc1c([N+](=O)[O-])c(Cl)nc2ccccc12.Cc1ccccc1,N-butyl-2-chloro-3-nitroquinolin-4-amine|toluene,CCCCNc1c(N)c(Cl)nc2ccccc12,"4-N-butyl-2-chloroquinoline-3,4-diamine",,,
B.C1CCOC1.COc1cc(C)ccc1C(N)=O.Cl.C1CCOC1.O,borane|oxolane|2-methoxy-4-methylbenzamide|chlorane|oxolane|oxidane,COc1cc(C)ccc1CN,(2-methoxy-4-methylphenyl)methanamine,,,
O=Cc1cnc(Br)s1.O=C([O-])[O-].Cc1c[nH]cn1.[K+].[K+].CN(C)C=O,"2-bromo-1,3-thiazole-5-carbaldehyde|carbonate|5-methyl-1H-imidazole|potassium(1+)|potassium(1+)|N,N-dimethylformamide",Cc1cn(-c2ncc(C=O)s2)cn1,"2-(4-methylimidazol-1-yl)-1,3-thiazole-5-carbaldehyde",,,
[C-]#N.CCO.CCOC(=O)C(C#N)=C1CCc2cc(Cl)c(OC)cc21.[K+].O,"cyanide|ethanol|ethyl 2-(5-chloro-6-methoxy-2,3-dihydroinden-1-ylidene)-2-cyanoacetate|potassium(1+)|oxidane",COc1cc2c(cc1Cl)CCC2(C#N)CC#N,"5-chloro-1-(cyanomethyl)-6-methoxy-2,3-dihydroindene-1-carbonitrile",,,
CC(C)=O.S=C(Cl)Cl.NC1=NN(c2cccc(C(F)(F)F)c2)CC1.O=C=O,"propan-2-one|thiocarbonyl dichloride|2-[3-(trifluoromethyl)phenyl]-3,4-dihydropyrazol-5-amine|O=C=O",FC(F)(F)c1cccc(N2CCC(N=C=S)=N2)c1,"5-isothiocyanato-2-[3-(trifluoromethyl)phenyl]-3,4-dihydropyrazole",,,
N#Cc1cc(Cl)ccc1F.[H-].NCc1cc(Cl)ccc1N1CCCC1=O.[Na+].O=C1CCCN1.CN(C)C=O,"5-chloro-2-fluorobenzonitrile|hydride|1-[2-(aminomethyl)-4-chlorophenyl]pyrrolidin-2-one|sodium(1+)|pyrrolidin-2-one|N,N-dimethylformamide",N#Cc1cc(Cl)ccc1N1CCCC1=O,5-chloro-2-(2-oxopyrrolidin-1-yl)benzonitrile,,,
CCOCC.CCCCC.COCCCCc1ccncc1OC(C)=O.CC(=O)O,ethoxyethane|pentane|[4-(4-methoxybutyl)pyridin-3-yl] acetate|acetic acid,COCCCCc1ccncc1O,4-(4-methoxybutyl)pyridin-3-ol,,,
COC(=O)C(OC)OC.CCN(CC)CC.CO.CCOC(C)=O.NCc1cccc(F)c1Cl,"methyl 2,2-dimethoxyacetate|N,N-diethylethanamine|methanol|ethyl acetate|(2-chloro-3-fluorophenyl)methanamine",COC(OC)C(=O)NCc1cccc(F)c1Cl,"N-[(2-chloro-3-fluorophenyl)methyl]-2,2-dimethoxyacetamide",,,
CC#N.Cn1nccc1C(O)c1ccc(F)cc1C(F)(F)F.O=[Cr](=O)([O-])Cl.O.c1cc[nH+]cc1,acetonitrile|[4-fluoro-2-(trifluoromethyl)phenyl]-(2-methylpyrazol-3-yl)methanol|O=[Cr](=O)([O-])Cl|oxidane|pyridin-1-ium,Cn1nccc1C(=O)c1ccc(F)cc1C(F)(F)F,[4-fluoro-2-(trifluoromethyl)phenyl]-(2-methylpyrazol-3-yl)methanone,,,
O=C([O-])O.CC(C)(C)O.C=CCC1(C(=O)OC)Oc2c(OC)cccc2C1=O.[Na+].O=S(=O)(O)O,hydrogen carbonate|2-methylpropan-2-ol|methyl 7-methoxy-3-oxo-2-prop-2-enyl-1-benzofuran-2-carboxylate|sodium(1+)|sulfuric acid,C=CCC1Oc2c(OC)cccc2C1=O,7-methoxy-2-prop-2-enyl-1-benzofuran-3-one,,,
c1ccc2c(c1)CCCN2.O=[N+]([O-])O.O=S(=O)(O)O,"1,2,3,4-tetrahydroquinoline|nitric acid|sulfuric acid",O=[N+]([O-])c1ccc2c(c1)NCCC2,"7-nitro-1,2,3,4-tetrahydroquinoline",,,
[Cl-].Cl.O=N[O-].Nc1cccc2cnccc12.[Na+],chloride|chlorane|nitrite|isoquinolin-5-amine|sodium(1+),Clc1cccc2cnccc12,5-chloroisoquinoline,,,
CCCCO.Clc1cccc(-c2ccc(Cl)nn2)c1.C[N+](=O)[O-].NN.O,butan-1-ol|3-chloro-6-(3-chlorophenyl)pyridazine|nitromethane|hydrazine|oxidane,NNc1ccc(-c2cccc(Cl)c2)nn1,[6-(3-chlorophenyl)pyridazin-3-yl]hydrazine,,,
Brc1ccccc1.[Cl-].[Cl-].[Cl-].[In+3].[Na+].[OH-].O.O=S(=O)(O)C(F)(F)F.O=C(O)C(F)(F)F.O=S(=O)(Cl)c1ccccc1,"bromobenzene|chloride|chloride|chloride|indium(3+)|sodium(1+)|hydroxide|oxidane|trifluoromethanesulfonic acid|2,2,2-trifluoroacetic acid|benzenesulfonyl chloride",O=S(=O)(c1ccccc1)c1ccc(Br)cc1,1-(benzenesulfonyl)-4-bromobenzene,,,
CCO.CCCCC=CC(C)(C)C(=O)O.N#N,"ethanol|2,2-dimethyloct-3-enoic acid|molecular nitrogen",CCCCCCC(C)(C)C(=O)O,"2,2-dimethyloctanoic acid",,,
N#Cc1ccc(Br)cc1.CC(C)c1cccc(O)c1,4-bromobenzonitrile|3-propan-2-ylphenol,CC(C)c1cccc(Oc2ccc(C#N)cc2)c1,4-(3-propan-2-ylphenoxy)benzonitrile,,,
CCOP(=O)(CC#N)OCC.C1CCOC1.[H-].[Na+].O=C(c1ccccc1)c1ccccc1,2-diethoxyphosphorylacetonitrile|oxolane|hydride|sodium(1+)|diphenylmethanone,N#CC=C(c1ccccc1)c1ccccc1,"3,3-diphenylprop-2-enenitrile",,,
CSc1cc(Br)nc(Br)c1.N,"2,6-dibromo-4-methylsulfanylpyridine|azane",CSc1cc(N)nc(Br)c1,6-bromo-4-methylsulfanylpyridin-2-amine,,,
CCO.ClC(Cl)Cl.Cc1ccc(S(=O)(=O)NN)cc1.O=C1c2ccccc2CCC1Nc1ccccc1,"ethanol|chloroform|4-methylbenzenesulfonohydrazide|2-anilino-3,4-dihydro-2H-naphthalen-1-one",c1ccc(NC2CCc3ccccc3C2)cc1,"N-phenyl-1,2,3,4-tetrahydronaphthalen-2-amine",,,
C=CCN=C=O.C1CCOC1.NNC(=O)c1ccc(Cl)cc1,3-isocyanatoprop-1-ene|oxolane|4-chlorobenzohydrazide,C=CCNC(=O)NNC(=O)c1ccc(Cl)cc1,1-[(4-chlorobenzoyl)amino]-3-prop-2-enylurea,,,
N#CCBr.COCCOC1CCNCC1,2-bromoacetonitrile|4-(2-methoxyethoxy)piperidine,COCCOC1CCN(CC#N)CC1,2-[4-(2-methoxyethoxy)piperidin-1-yl]acetonitrile,,,
CC(=O)O.[I-].CC1(c2cc(N)ccc2F)N=C(N)OCC1(F)F.[NH4+].OO,"acetic acid|iodide|4-(5-amino-2-fluorophenyl)-5,5-difluoro-4-methyl-6H-1,3-oxazin-2-amine|azanium|hydrogen peroxide",CC1(c2cc(N)c(I)cc2F)N=C(N)OCC1(F)F,"4-(5-amino-2-fluoro-4-iodophenyl)-5,5-difluoro-4-methyl-6H-1,3-oxazin-2-amine",,,
CC(C)(C)[Si](C)(C)OCCC(O)c1cccnc1Cl.C1CCOC1.CCCC[N+](CCCC)(CCCC)CCCC.[F-],3-[tert-butyl(dimethyl)silyl]oxy-1-(2-chloropyridin-3-yl)propan-1-ol|oxolane|tetrabutylazanium|fluoride,OCCC(O)c1cccnc1Cl,"1-(2-chloropyridin-3-yl)propane-1,3-diol",,,
CO.CCOC(=O)CC1CC(C)CC(C)C1.[K+].[OH-].O,"methanol|ethyl 2-(3,5-dimethylcyclohexyl)acetate|potassium(1+)|hydroxide|oxidane",CC1CC(C)CC(CC(=O)O)C1,"2-(3,5-dimethylcyclohexyl)acetic acid",,,
